No.	Drug	Pubchem id
1	Butyric Acid	264
2	Carnitine	288
3	Choline	305
4	Gallic acid	370
5	Bupropion	444
6	Hippuric acid	464
7	Indole	798
8	Nickel	935
9	Pentachlorophenol	992
10	Pyrazinamide	1046
11	TMAO	1145
12	Phenytoin	1775
13	Tacrine	1935
14	Acebutolol	1978
15	Paracetamol	1983
16	Acetohexamide	1989
17	Albendazole	2082
18	Alfuzosin	2092
19	Allopurinol	135401907
20	Alosetron	2099
21	Alprenolol	2119
22	Altretamine	2123
23	Amantadine	2130
24	Theophylline	2153
25	Amiodarone	2157
26	Amitriptyline	2160
27	Amlodipine	2162
28	Amoxapine	2170
29	Anagrelide	135409400
30	Anastrozole	2187
31	Anthralin	2202
32	Aspirin	2244
33	Astemizole	2247
34	Atrazine	2256
35	Azathioprine	2265
36	Benzbromarone	2333
37	Benzo[a]pyrene	2336
38	Benzthiazide	2343
39	Penicillin	2349
40	Berberine	2353
41	Bicalutamide	2375
42	Bifonazole	2378
43	Biperiden	2381
44	Bisacodyl	2391
45	Bromazepam	2441
46	Bromperidol	2448
47	Bufexamac	2466
48	Bumetanide	2471
49	Buspirone	2477
50	Butamben	2482
51	Caffeine	2519
52	Verapamil	2520
53	Candesartan	2541
54	Carbamazepine	2554
55	Carisoprodol	2576
56	carmustine	2578
57	Carvedilol	2585
58	Celecoxib	2662
59	Cetirizine	2678
60	Chlormezanone	2717
61	Chlorothiazide	2720
62	Chloroxine	2722
63	Chlorpropamide	2727
64	Chlorpyrifos	2730
65	Chlorthalidone	2732
66	Chlorzoxazone	2733
67	Cilostazol	2754
68	Cimetidine	2756
69	Cinnarizine	2761
70	Cinoxacin	2762
71	Ciprofloxacin	2764
72	Citalopram	2771
73	Clemizole	2782
74	Clioquinol	2788
75	Clobazam	2789
76	Clofazimine	2794
77	Clomipramine	2801
78	Clonazepam	2802
79	Clonidine	2803
80	Clotrimazole	2812
81	Clozapine	135398737
82	Colchicine	2833
83	Cromolyn	2882
84	Cyclobenzaprine	2895
85	Cyclopenthiazide	2904
86	Cyclophosphamide	2907
87	Cyproheptadine	2913
88	Dapsone	2955
89	Desipramine	2995
90	Diazepam	3016
91	Diazinon 	3017
92	Diazoxide	3019
93	Diclofenac	3033
94	p,p'-Dichlorodiphenyldichloroethylene	3035
95	Dicyclomine	3042
96	Diethylstilbestrol	3054
97	Diflunisal	3059
98	Diphenhydramine	3100
99	Diphenylpyraline	3103
100	Dipyridamole	3108
101	Disopyramide	3114
102	Disulfiram	3117
103	Donepezil	3152
