No.	Microbe	NCBI Taxonomy id
1	Bifidobacterium sp.	41200
2	Blautia coccoides	1532
3	Blautia luti DSM14534	649762
4	Blautia obeum	40520
5	Burkholderiales Order	80840
6	Butyrivibrio fibrisolvens	831
7	Butyrivibrio proteoclasticus	43305
8	Butyrivibrio sp.	28121
9	Christensenellaceae	990719
10	Citrobacter amalonaticus	35703
11	Citrobacter farmeri	67824
12	Cloacibacillus	508459
13	Clostridia	186801
14	Clostridiales	186802
15	Alteromonadales Order	135622
16	Clostridioides difficile	1496
17	Enterocloster bolteae	208479
18	Enterocloster citroniae Species n.a.	358743
19	anaerobic bacterium 'strain 7'	78352
20	Lacrimispora saccharolytica	84030
21	Anaeroplasma	2086
22	Coriobacteriaceae	84107
23	Coriobacteriales	84999
24	Deferribacteraceae	191394
25	Eggerthella sp. Species 84111	1929886
26	Eisenbergiella tayi	1432052
27	Enterobacteriaceae	543
28	Erysipelatoclostridium ramosum	1547
29	Erysipelotrichaceae	128827
30	Erysipelotrichales	526525
31	Erysipelotrichia	526524
32	Fibrobacteria	204430
33	Firmicutes	1239
34	Fusobacteria	32066
35	Gammaproteobacteria	1236
36	Gemmiger	204475
37	Bacilli Class	91061
38	Holdemania sp.	2049029
39	Klebsiella sp.	576
40	Raoultella terrigena	577
41	Lachnospiraceae Family	186803
42	Lacrimispora sphenoides Species n.a.	29370
43	Lactobacillales Order	186826
44	Lactobacillus paracasei Species 1578	1597
45	Bacteroidaceae	815
46	Lactobacillus sp.	1591
47	Lactonifactor longoviformis	341220
48	Listeria welshimeri	1643
49	Bacteroidales	171549
50	Mollicutes	31969
51	Moraxella	46225
52	Moryella	437755
53	Mucispirillum	248038
54	Actinobacteria	1760
55	Oceanobacillus	182709
56	Oscillibacter sp.	1945593
57	Oscillospira	119852
58	Peptostreptococcaceae	186804
59	Bacteroides acidifaciens	85831
60	Planctomycetia	203683
61	Porphyromonadaceae	171551
62	Pretovella copri DSM18205	537011
63	Prevotellaceae	171552
64	Propionibacteriaceae	31957
65	Proteobacteria	1224
66	Pseudobutyrivibrio	46205
67	Pseudomonadaceae	135621
68	Pseudomonas fluorescens Species 286	294
69	Rikenellaceae	171550
70	Ruminococcaceae Family	541000
71	Ruminococcus sp.	41978
72	Salmonella typhimurium LT2	99287
73	Slackia equolifaciens	498718
74	Slackia isoflavoniconvertens	572010
75	Streptococcaceae	1300
76	Styrax aureus	211046
77	Sutterella sp.	1981025
78	Verrucomicrobia Phylum	74201
79	Victivallis	172900
80	Victivallis vadensis ATCC BAA-548	340101
81	Bacteroides sp. Species 816	29523
82	Bacteroides WH2	311784
83	Bacteroidetes	976
84	Bifidobacteriaceae	31953
85	Bifidobacteriales	85004
86	Acetobacter	434
87	Achromobacter aegrifaciens	1287736
88	Acidobacteria	204432
89	Acidovorax	12916
90	Acinetobacter baumannii TCDC-AB0715	980514
91	Acinetobacter haemolyticus ATCC 19194	707232
92	Actinomyces	1654
93	Actinomyces coleocanis DSM 15436	525245
94	Actinomyces sp. oral taxon 17 	762963
95	Actinomycetaceae	2049
96	Adlercreutzia	447020
97	Aerococcus	1375
98	Aeromonas	642
99	Aeromonas caviae Ae398	878320
100	Aggregatibacter genus	416916
101	Agrobacterium tumefaciens F2	1050720
102	Alcaligenaceae	506
103	Alcaligenes	507
104	Alistipes indistinctus	626932
105	Alkaliphilus metalliredigens QYMF	293826
106	Alkaliphilus oremlandii OhILAs	350688
107	Alphaproteobacteria	28211
108	Amphibacillus	29331
109	Anaerococcus	165779
110	Anaeroplasmataceae	186333
111	Anaerostipes	207244
112	Arthrobacter	1663
113	Arthromitus	49082
114	Atopobium	1380
115	Atopostipes	292480
116	Bacillales	1385
117	Bacillus cereus Species 1386	1396
118	Bacillus cereus SJ1	699184
119	Bacillus coahuilensis m4-4	441769
120	Bacillus subtilis	1423
121	Bacteroidales bacterium ph8	1118061
122	Bacteroides clarus YIT 12056	762984
123	Bacteroides dorei	357276
124	Bacteroides stercoris	46506
125	Bacteroidia	200643
126	Betaproteobacteria	28216
127	Bifidobacterium adolescentis L2-32	411481
128	Bifidobacterium bifidum NCIMB 41171	398513
129	Bifidobacterium dentium Species 1678	1689
130	Bifidobacterium dentium ATCC 27679	871562
131	Bifidobacterium pseudocatenulatum DSM 20438	547043
132	Bifidobacterium ruminantium	78346
133	Brachyspira pilosicoli 95/1000	759914
134	Brevundimonas	41275
135	Burkholderia mallei ATCC 23344	243160
136	Burkholderia vietnamiensis G4	269482
137	Butyrivibrio	830
138	Campylobacter gracilis RM3268	553220
139	Campylobacter hominis ATCC BAA-381	360107
140	Candidatus Aquirestis calciphila	526863
141	Candidatus Odyssella	84646
142	Candidatus Saccharimonas	1331051
143	Capnocytophaga	1016
144	Capnocytophaga gingivalis ATCC 33624	553178
145	Catabacteriaceae	424536
146	Caulobacteraceae	76892
147	Caulobacterales order	204458
148	Cetobacterium	180162
