No.	MeSH_id of phenotypes
1	D006262
2	D015179
3	D003093
4	D007234
5	D009765
6	D003015
7	D043183
8	D001327
9	D003248
10	D003924
11	D013274
12	D003108
13	D054198
14	D003424
15	D015212
16	D019337
17	D003967
18	D000236
19	D001714
20	D008103
21	D008171
22	D008881
23	D001289
24	D006973
25	D014607
26	D065626
27	D000067877
28	D000855
29	D001321
30	D001943
31	D007410
32	D013959
33	D037841
34	D002318
35	D008545
36	D016640
37	D013167
38	D001172
39	D001249
40	D007230
41	D003550
42	D005764
43	D015497
44	D014376
45	D006515
46	D003920
47	D012778
48	D050177
49	D006678
50	D012400
51	D000067011
52	D003922
53	D016360
54	D006111
55	D050031
56	D024821
57	D011565
58	D016918
59	D007676
60	D013964
61	D007674
62	D025241
63	D050197
64	D011236
65	D001528
66	D008107
67	D002446
68	D010300
69	D020187
70	D004827
71	D000755
72	D015658
73	D015209
74	D055113
75	D015518
76	D005891
77	D000544
78	D054323
79	D003863
80	D001171
81	D004485
82	D009767
83	D020345
84	D002277
85	D010661
86	D059268
87	D029424
88	D010520
89	D004826
90	D000067
91	D009062
92	D009103
93	D019512
94	D000292
95	D004886
96	D014393
97	D003731
98	D014552
99	D010518
100	D011024
101	D001927
102	D014205
103	D007511
104	D053713
105	D007239
106	D008105
107	D004405
108	D006333
109	D004696
110	D019449
111	D015817
112	D000163
113	D009889
114	D018856
115	D000077
116	D002527
117	D009617
118	D012772
119	D008180
120	D007418
121	D012552
122	D007669
123	D006100
124	D054990
125	D017043
126	D051436
127	D007898
128	D003110
129	D012907
130	D011085
131	D007896
132	D007918
133	D016773
134	D063807
135	D014397
136	D056586
137	D009920
138	D015535
139	D019693
140	D011225
141	D018746
142	D000856
143	D017229
144	D036981
145	D010484
146	D012595
147	D000039
148	D020520
149	D002546
150	D014247
151	D008199
152	D015673
153	D001447
154	D009845
155	D002292
156	D013282
157	D015823
158	D015523
159	D003638
160	D018792
161	D014007
162	D011695
163	D001064
164	D002006
165	D001906
166	D006980
167	D009471
168	D010019
169	D010437
170	D012541
171	D011247
172	D013354
173	D011704
174	D010033
175	D008582
176	D009080
177	D010538
178	D000076
179	D018805
180	D014526
181	D057765
182	D001471
183	D007972
184	D012559
185	D010202
186	D012222
187	D005734
188	D014820
189	D000152
190	D004942
191	D006560
192	D004761
193	D008288
194	D000196
195	D060586
196	D015433
197	D012859
198	D005757
199	D013984
200	D002689
201	D004415
202	D011371
203	D010195
204	D002494
205	D005902
206	D014438
207	D004165
208	D000712
209	D013281
210	D045169
211	D003047
212	D006949
213	D006660
214	D017676
215	D010930
216	D020275
217	D007635
218	D008158
219	D009209
220	D023981
221	D001170
222	D005873
223	D004697
224	D000071074
225	D014005
226	D007246
227	D005536
228	D000724
229	D013924
230	D014396
231	D003092
232	D014917
233	D013591
234	D020814
235	D005738
236	D005756
237	D016469
238	D002481
239	D017449
240	D013158
241	D008268
242	D006967
243	D013174
244	D010237
245	D012213
246	D006069
247	D047928
248	D012226
249	D008169
250	D012509
251	D002598
252	D016459
253	D011020
254	D003457
255	D008061
256	D018784
257	D009091
258	D004931
259	D005334
260	D011349
261	D001168
262	D003234
263	D029481
264	D014201
265	D011125
266	D009325
267	D016585
268	D009807
269	D059411
270	D002180
271	D017719
272	D005847
273	D013585
274	D014245
275	D003121
276	D007876
277	D012220
278	D008883
279	D021866
280	D016920
281	D003324
282	D006558
283	D013742
284	D000562
285	D002771
286	D053040
287	D001988
288	D058922
289	D014010
290	D010229
291	D006562
292	D020241
293	D014456
294	D001404
295	D001201
296	D060605
297	D011778
298	D008590
299	D020258
300	D013587
301	D014947
302	D007877
303	D000437
304	D017129
305	D012523
306	D008088
307	D010493
308	D001759
309	D001196
310	D003884
311	D004760
312	D012766
313	D019578
314	D008181
315	D018357
316	D003327
317	D004810
318	D001907
319	D011711
320	D005705
321	D016881
322	D012133
323	D008193
324	D014008
325	D002169
326	D012871
327	D012409
328	D002644
329	D005348
330	D012282
331	D006528
332	D003294
333	D007638
334	D005667
335	D004894
